user_id,user_role,department,years_of_experience,login_timestamp,login_hour,login_day_of_week,login_location,device_type,daily_login_count,failed_login_attempts,records_accessed_count,records_modified_count,sensitive_record_access,cross_department_access,session_duration_minutes,anomaly_label
1,Nurse,Emergency,28,10/3/2022,3,Monday,Remote VPN,Tablet,7,9,146,61,No,No,84,Normal
2,Nurse,Cardiology,17,1/5/2022,18,Sunday,Hospital Network,Mobile,11,1,232,64,No,No,9,Normal
3,Doctor,Neurology,18,7/16/2022,12,Thursday,Hospital Network,Tablet,6,4,86,55,No,No,13,Normal
4,Admin Staff,Emergency,27,10/14/2022,15,Friday,Hospital Network,Mobile,23,2,39,62,No,No,65,Normal
5,Admin Staff,Cardiology,26,6/4/2022,5,Tuesday,Remote VPN,Desktop,26,0,294,77,No,Yes,85,Normal
6,Nurse,Neurology,30,7/29/2022,18,Monday,Hospital Network,Mobile,22,10,129,7,No,No,47,Normal
7,Doctor,Pediatrics,21,8/14/2022,10,Wednesday,Hospital Network,Desktop,18,8,106,2,No,No,51,Normal
8,Doctor,Neurology,24,7/29/2022,12,Sunday,Hospital Network,Desktop,10,6,122,24,Yes,No,171,Normal
9,Nurse,Pediatrics,13,1/26/2022,13,Sunday,Hospital Network,Mobile,10,0,236,29,No,No,77,Normal
10,Nurse,Emergency,12,8/13/2022,8,Tuesday,Remote VPN,Tablet,2,5,112,22,No,No,109,Normal
11,Admin Staff,Neurology,26,3/14/2022,20,Sunday,Hospital Network,Desktop,18,3,20,21,No,No,96,Normal
12,Doctor,Oncology,1,10/22/2022,2,Saturday,Hospital Network,Mobile,12,6,73,40,No,Yes,48,Normal
13,Nurse,Neurology,26,11/12/2022,11,Sunday,Hospital Network,Desktop,16,8,258,77,No,No,25,Normal
14,Doctor,Oncology,28,7/15/2022,3,Monday,Hospital Network,Tablet,8,5,69,39,No,No,6,Normal
15,Admin Staff,Cardiology,28,9/4/2022,16,Thursday,Hospital Network,Desktop,19,9,184,69,No,No,11,Normal
16,Doctor,Cardiology,17,10/8/2022,19,Sunday,Hospital Network,Tablet,1,0,168,70,No,No,22,Normal
17,Admin Staff,Cardiology,6,12/22/2022,16,Sunday,Hospital Network,Desktop,16,3,297,43,No,No,157,Normal
18,Nurse,Cardiology,13,1/1/2022,21,Friday,Hospital Network,Mobile,19,3,126,1,No,No,76,Normal
19,Nurse,Oncology,3,2/8/2022,22,Thursday,Hospital Network,Desktop,14,6,84,63,No,No,109,Normal
20,Admin Staff,Pediatrics,8,5/15/2022,14,Wednesday,Hospital Network,Tablet,22,6,137,10,No,No,50,Normal
21,Admin Staff,Emergency,17,3/14/2022,8,Thursday,Hospital Network,Desktop,21,4,184,38,No,No,26,Normal
22,Admin Staff,Cardiology,10,1/15/2022,22,Tuesday,Hospital Network,Tablet,6,5,257,46,Yes,No,150,Normal
23,Admin Staff,Emergency,23,3/19/2022,9,Wednesday,Hospital Network,Desktop,5,10,211,29,No,No,113,Normal
24,Admin Staff,Neurology,26,5/20/2022,13,Friday,Hospital Network,Desktop,17,2,8,53,Yes,No,26,Normal
25,Nurse,Neurology,20,6/18/2022,15,Friday,Unknown IP,Mobile,23,6,35,58,No,No,49,Normal
26,Doctor,Oncology,26,6/21/2022,16,Saturday,Hospital Network,Tablet,1,2,45,60,No,No,39,Normal
27,Doctor,Cardiology,26,11/3/2022,3,Monday,Hospital Network,Tablet,11,0,128,49,No,No,68,Normal
28,Admin Staff,Cardiology,21,5/20/2022,4,Monday,Hospital Network,Tablet,6,10,219,34,No,No,34,Normal
29,Nurse,Neurology,3,11/11/2022,22,Sunday,Remote VPN,Desktop,28,7,129,41,No,No,126,Normal
30,Nurse,Pediatrics,2,3/19/2022,22,Tuesday,Remote VPN,Tablet,26,9,257,53,No,No,152,Normal
31,Doctor,Neurology,20,2/5/2022,20,Monday,Hospital Network,Mobile,21,3,142,45,No,No,116,Normal
32,Admin Staff,Emergency,7,1/20/2022,19,Wednesday,Remote VPN,Desktop,19,6,107,43,No,No,95,Normal
33,Doctor,Cardiology,8,4/10/2022,5,Wednesday,Hospital Network,Desktop,30,7,24,19,No,No,123,Normal
34,Admin Staff,Oncology,27,7/13/2022,14,Monday,Remote VPN,Tablet,7,6,107,37,No,No,155,Normal
35,Nurse,Oncology,5,4/23/2022,20,Saturday,Hospital Network,Mobile,14,8,47,54,Yes,Yes,117,Normal
36,Admin Staff,Cardiology,3,10/17/2022,2,Thursday,Hospital Network,Tablet,7,7,149,29,No,No,143,Normal
37,Nurse,Oncology,9,9/26/2022,23,Friday,Hospital Network,Desktop,1,4,160,36,No,No,172,Normal
38,Admin Staff,Oncology,12,5/11/2022,20,Monday,Hospital Network,Mobile,26,7,121,69,Yes,No,121,Normal
39,Admin Staff,Pediatrics,5,6/5/2022,18,Thursday,Unknown IP,Tablet,4,9,171,7,No,Yes,114,Normal
40,Admin Staff,Neurology,5,11/30/2022,10,Sunday,Hospital Network,Desktop,16,7,174,62,No,No,52,Normal
41,Nurse,Oncology,9,5/13/2022,16,Tuesday,Hospital Network,Tablet,20,6,55,80,No,No,136,Normal
42,Doctor,Oncology,1,6/20/2022,15,Wednesday,Hospital Network,Mobile,25,2,254,48,No,No,80,Normal
43,Doctor,Oncology,2,11/27/2022,0,Thursday,Hospital Network,Mobile,22,2,241,16,Yes,No,159,Normal
44,Nurse,Pediatrics,27,10/14/2022,5,Saturday,Hospital Network,Mobile,17,2,102,62,No,No,127,Normal
45,Admin Staff,Emergency,5,12/7/2022,21,Monday,Hospital Network,Mobile,14,7,23,3,No,Yes,21,Normal
46,Nurse,Pediatrics,4,11/13/2022,16,Friday,Remote VPN,Desktop,16,2,32,6,No,No,33,Normal
47,Doctor,Cardiology,9,1/4/2022,17,Sunday,Hospital Network,Mobile,4,4,120,66,No,No,173,Normal
48,Admin Staff,Pediatrics,10,6/15/2022,10,Monday,Remote VPN,Mobile,18,1,40,22,No,No,8,Normal
49,Doctor,Emergency,11,3/3/2022,15,Friday,Hospital Network,Desktop,14,10,111,65,No,No,27,Normal
50,Nurse,Pediatrics,24,12/29/2022,14,Tuesday,Hospital Network,Mobile,7,2,29,76,No,No,125,Normal
51,Admin Staff,Pediatrics,8,11/23/2022,6,Monday,Hospital Network,Tablet,22,1,48,72,No,No,168,Normal
52,Doctor,Emergency,28,8/18/2022,18,Saturday,Remote VPN,Desktop,3,6,269,53,No,No,36,Normal
53,Nurse,Neurology,1,2/23/2022,11,Friday,Hospital Network,Desktop,2,8,18,37,No,No,34,Normal
54,Nurse,Neurology,25,9/22/2022,8,Monday,Hospital Network,Tablet,29,10,293,23,No,No,24,Suspicious
55,Doctor,Emergency,21,3/8/2022,1,Sunday,Hospital Network,Desktop,13,9,46,69,No,No,63,Normal
56,Nurse,Oncology,22,3/13/2022,6,Saturday,Hospital Network,Tablet,10,2,10,11,No,No,131,Normal
57,Nurse,Neurology,27,1/31/2022,10,Tuesday,Hospital Network,Mobile,16,9,96,78,No,No,85,Normal
58,Nurse,Pediatrics,27,3/22/2022,8,Saturday,Hospital Network,Tablet,29,4,29,23,No,No,19,Normal
59,Doctor,Emergency,12,3/20/2022,18,Tuesday,Hospital Network,Mobile,20,2,224,63,No,No,35,Normal
60,Admin Staff,Cardiology,4,4/21/2022,17,Wednesday,Hospital Network,Mobile,15,5,103,9,No,No,89,Normal
61,Admin Staff,Oncology,12,2/4/2022,22,Thursday,Hospital Network,Desktop,16,6,244,43,No,No,50,Normal
62,Admin Staff,Neurology,25,10/19/2022,10,Sunday,Hospital Network,Tablet,11,9,300,77,No,No,154,Normal
